#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-25-13-50-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750830770.907096	CKP4jhBtncPxeNdlj	10.141.143.123	60435	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830770.910323	CKP4jhBtncPxeNdlj	10.141.143.123	60435	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830772.943088	Cywt1p3SpW5AuRCZe3	10.141.143.123	60436	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830772.948230	Cywt1p3SpW5AuRCZe3	10.141.143.123	60436	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830776.293778	CSDUHQ2FzqRC1f3TI6	10.141.143.123	60437	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830776.297746	CSDUHQ2FzqRC1f3TI6	10.141.143.123	60437	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830776.623174	CuX5OC37Fj9sGlpa99	10.141.143.123	60438	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830776.627804	CuX5OC37Fj9sGlpa99	10.141.143.123	60438	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830778.683591	C3kYAB2CgyPdeVEf7g	10.141.143.123	60440	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830778.687265	C3kYAB2CgyPdeVEf7g	10.141.143.123	60440	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830781.704711	CRGthZ3hSajxP86EHj	10.141.143.123	60441	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830781.708840	CRGthZ3hSajxP86EHj	10.141.143.123	60441	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830782.698357	C3HcjH15nnBFjavf31	10.141.143.123	60443	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830782.700820	C3HcjH15nnBFjavf31	10.141.143.123	60443	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830784.719323	Cb7Iv84aH9iYC2Uakc	10.141.143.123	60444	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830784.725784	Cb7Iv84aH9iYC2Uakc	10.141.143.123	60444	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830787.679132	Cs3soI2lWsSYeb7cni	10.141.143.123	60452	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830787.681186	Cs3soI2lWsSYeb7cni	10.141.143.123	60452	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830788.684645	CfqKxFOoRpHPQVaue	10.141.143.123	60453	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830788.687043	CfqKxFOoRpHPQVaue	10.141.143.123	60453	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830790.723246	C9pTA52trwUSZ07vVh	10.141.143.123	60465	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830790.725820	C9pTA52trwUSZ07vVh	10.141.143.123	60465	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830793.728672	CsCL9K376d2U8Ayvcb	10.141.143.123	60467	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830793.731072	CsCL9K376d2U8Ayvcb	10.141.143.123	60467	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830794.773843	C8LRw846JNe0DnUu8g	10.141.143.123	60468	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830794.777433	C8LRw846JNe0DnUu8g	10.141.143.123	60468	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830796.751498	COsXvV3CWOsHAxz6hh	10.141.143.123	60470	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830796.755688	COsXvV3CWOsHAxz6hh	10.141.143.123	60470	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830799.751218	CEwe9y4ukzJnUP2sYi	10.141.143.123	60471	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830799.755671	CEwe9y4ukzJnUP2sYi	10.141.143.123	60471	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830800.777917	CyJXWE4XOM7gDkP3lj	10.141.143.123	60472	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830800.782098	CyJXWE4XOM7gDkP3lj	10.141.143.123	60472	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830802.814648	ClGBpd1b2gnBBllzG9	10.141.143.123	60474	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830802.819576	ClGBpd1b2gnBBllzG9	10.141.143.123	60474	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830805.826455	CxPvME1BjxkddPafD	10.141.143.123	60475	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830805.830907	CxPvME1BjxkddPafD	10.141.143.123	60475	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830806.717257	CMchUg253IMKcc3F06	10.141.143.123	60476	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830806.720364	CMchUg253IMKcc3F06	10.141.143.123	60476	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830811.066674	Cy3Wl42CY3O0CUtZd1	10.141.143.123	60477	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830811.071063	Cy3Wl42CY3O0CUtZd1	10.141.143.123	60477	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830811.451461	CL9Z025PjYkSLnrkk	10.141.143.123	60478	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830811.454416	CL9Z025PjYkSLnrkk	10.141.143.123	60478	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830812.523518	Cjat55XxH18cEO6El	10.141.143.123	60480	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830812.527718	Cjat55XxH18cEO6El	10.141.143.123	60480	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830816.487649	Cyz86NidMcJHFX4Aa	10.141.143.123	60481	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830816.489791	Cyz86NidMcJHFX4Aa	10.141.143.123	60481	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830817.457366	CdsMin44JICdl7grRi	10.141.143.123	60483	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830817.461212	CdsMin44JICdl7grRi	10.141.143.123	60483	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830818.472838	CH4y754MYmpFwVqTu3	10.141.143.123	60486	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830818.474582	CH4y754MYmpFwVqTu3	10.141.143.123	60486	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830822.491693	CA3vic3SChqv2Z4UTi	10.141.143.123	60497	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830822.495748	CA3vic3SChqv2Z4UTi	10.141.143.123	60497	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830823.460029	C8UCAj2TuiRMlYgxn4	10.141.143.123	60498	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830823.462503	C8UCAj2TuiRMlYgxn4	10.141.143.123	60498	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830824.483972	CAwnUy4meFP9gISG4c	10.141.143.123	60499	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830824.487262	CAwnUy4meFP9gISG4c	10.141.143.123	60499	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830828.505104	C4GT2b1RvxZQlMmNJ8	10.141.143.123	60505	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830828.507941	C4GT2b1RvxZQlMmNJ8	10.141.143.123	60505	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830829.465880	CGlWrFwotYQ7qvxn5	10.141.143.123	60507	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830829.469675	CGlWrFwotYQ7qvxn5	10.141.143.123	60507	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
