#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750485823.317092	CC9B584JngD5fMKhp2	192.168.226.11	44948	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485849.683499	Cds9hJ3BlzR6dExfr2	192.168.226.11	48120	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485870.954166	CJyg7hv9kVBMdVTxe	192.168.226.11	45780	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485901.060866	CPOQsD4WqJsy668R55	192.168.226.11	46656	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485921.741028	ChRBtZ1Dc9TZ6xWgPb	192.168.226.11	47480	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485937.254070	CGxPlx4KLRF95pyNX8	192.168.226.11	44842	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485943.293773	CSuDby18BkNOzlZ3D7	192.168.226.11	47638	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485957.523663	Ci9iLA2ZdPboZYkL85	192.168.226.11	47760	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485963.230554	CJrXzfvLQNzUGV3z6	192.168.226.11	48422	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750485977.684760	CRRT2A1FvU8nxBDFJj	192.168.226.11	47534	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750485983.471259	CxLD8r2aXdOOQinIJk	192.168.226.11	47584	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486003.122392	CyEi554inAfcdN3Au3	192.168.226.11	48600	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486028.599514	CAw7g21qGkyfW8h77	192.168.226.11	44640	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486053.349446	CfCVyEQONxgiwnhGl	192.168.226.11	45020	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486068.097458	CHV1ZEm5808Crm0Li	192.168.226.11	45320	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486085.306568	Cgrcq47zTVlFWWvEd	192.168.226.11	48116	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750486097.875977	CCGo0pTyTomtKsnH6	192.168.226.11	45094	23.193.184.154	80	active_connection_reuse	-	F	zeek	TCP
1750486112.558100	C2Blhg44eHK8vPeNwe	192.168.226.11	47566	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750486141.223359	CN9eh337yYo2lirfwb	192.168.226.11	46836	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750486146.388388	CVbAQ4K3fBI2YmAI2	192.168.226.11	47046	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750486166.891773	CKsie41FoPeOR5f7p5	192.168.226.11	48484	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750486172.067869	C8u7E84nEUuDOxcCL9	192.168.226.11	45598	23.193.184.154	80	active_connection_reuse	-	F	zeek	TCP
1750486193.105093	Ca899BFvYBuK9G4E5	192.168.226.11	45678	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486198.537381	Ce46cy1DMPgIgKE36j	192.168.226.11	47024	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
