#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2025-06-21-13-50-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1750485787.758883	C9pd5a3VFdeFsKEt0a	192.168.226.11	47959	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000183	183.160.133.132	1750485777.953594	1750485787.126904	1750485788.081589	1750485788.081602	0
1750485820.475076	C0yuxOtvwGtNv00eh	192.168.226.11	45479	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000214	183.160.133.132	1750485777.953594	1750485820.053186	1750485820.802611	1750485820.802865	0
1750485853.402966	C3ZWfc4XVhaGUQNSb3	192.168.226.11	44764	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000214	183.160.133.132	1750485841.795152	1750485853.041412	1750485853.758710	1750485853.758769	0
1750485886.104298	COBbHelr2Cf26OZV6	192.168.226.11	44990	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000244	183.160.133.132	1750485841.795152	1750485885.208411	1750485886.565953	1750485886.565974	0
1750485918.981508	CpN678Bfepr2ebgDb	192.168.226.11	47976	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000244	183.160.133.132	1750485906.599338	1750485918.165632	1750485919.406066	1750485919.406090	0
1750485952.496594	CmzVKW23QN8Z8ygUFf	192.168.226.11	46683	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000290	183.160.133.132	1750485906.599338	1750485951.179058	1750485952.373858	1750485952.373874	0
1750485984.723869	CP7W0Y1QKBs8OBgyi5	192.168.226.11	44935	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000336	183.160.133.132	1750485906.599338	1750485984.118074	1750485985.129761	1750485985.129778	0
1750486017.488977	CfBVNS2r77vdkBgV0f	192.168.226.11	44946	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000366	183.160.133.132	1750485906.599338	1750486017.062901	1750486017.886028	1750486017.886039	0
1750486050.265054	CFfbUx2BpSPj86tIqg	192.168.226.11	47155	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000275	183.160.133.132	1750486034.829495	1750486050.006646	1750486050.663792	1750486050.663805	0
1750486083.047404	Ckkb7Tuc8unZG8X3	192.168.226.11	46059	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000320	183.160.133.132	1750486034.829495	1750486082.185195	1750486083.550755	1750486083.550762	0
1750486116.155606	CCt9LW2Mk5m1K59dw2	192.168.226.11	45576	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001022	0.000366	183.160.133.132	1750486034.829495	1750486115.215203	1750486116.603435	1750486116.603448	0
