 ,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
28.0,2025-06-23T01:42:44+0800,CBKgEL3DDC5dMrIvic,192.168.84.22,60699,192.168.84.22,139,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
29.0,2025-06-23T01:42:44+0800,CG6LR82RgvBdYND4r5,192.168.84.22,57919,192.168.84.22,445,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
30.0,2025-06-23T01:42:44+0800,CYom8A3tQRjXk77zzd,192.168.84.22,59687,192.168.84.22,135,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
31.0,2025-06-23T01:42:44+0800,CmbALT1l8q1Xc7asi,192.168.84.22,60889,192.168.84.22,58080,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
32.0,2025-06-23T01:42:44+0800,C8uBOi3WUixRVOVLQd,192.168.84.22,57203,192.168.84.22,9009,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
33.0,2025-06-23T01:42:44+0800,CIcsnA2yJU6mdHLha5,192.168.84.22,58461,192.168.84.22,60020,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
34.0,2025-06-23T01:42:44+0800,CvdNak3O55NqVWI9tg,192.168.84.22,57329,192.168.84.22,2001,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
35.0,2025-06-23T01:42:44+0800,CvGsC72UaxDheasJEc,192.168.84.22,60775,192.168.84.22,9002,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
36.0,2025-06-23T01:42:44+0800,Cdssqg27Gm6IIVycuk,192.168.84.22,57271,192.168.84.22,57797,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
37.0,2025-06-23T01:42:44+0800,CIX0Sp4JuXIIP7BtVg,192.168.84.22,60199,192.168.84.22,57294,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
38.0,2025-06-23T01:42:44+0800,Czw7G74tTXvyv4oVKd,192.168.84.22,57149,192.168.84.22,60443,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
39.0,2025-06-23T01:42:44+0800,C4jUgJ2qTXadyL0gL5,192.168.84.22,60301,192.168.84.22,9003,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
40.0,2025-06-23T01:42:44+0800,Co3Qd63YXsurSKfWu1,192.168.84.22,57107,192.168.84.22,5000,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Benign
41.0,2025-06-23T01:42:44+0800,CClWvb4qCHlluZlV5g,192.168.84.22,59411,192.168.84.22,3580,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
42.0,2025-06-23T01:42:44+0800,CuPhkZiONqs6SZOm7,192.168.84.22,60823,192.168.84.22,9000,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
43.0,2025-06-23T01:42:44+0800,CGxf8r31i0sCtmW99b,192.168.84.22,57133,192.168.84.22,9001,tcp,,,,,OTH,T,T,0,C,0,0,0,0,,Malicious
44.0,2025-06-23T01:42:39+0800,C5SjWD4JJ896tLZDNi,192.168.84.22,50570,192.168.84.22,5000,tcp,http,0.016937,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
45.0,2025-06-23T01:42:40+0800,CpuLOD1GwEDlsCHgf3,192.168.84.22,50571,192.168.84.22,5000,tcp,http,0.010649,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
46.0,2025-06-23T01:42:42+0800,C8lcuo1PVJA5UXOtbg,192.168.84.22,50572,192.168.84.22,5000,tcp,http,0.012072,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
47.0,2025-06-23T01:42:43+0800,Cq8Z0eCqglANKbhRe,192.168.84.22,50573,192.168.84.22,5000,tcp,http,0.012583,334.0,0.0,SH,T,T,0,ScADF,7,626,0,0,,Benign
48.0,2025-06-23T01:42:44+0800,Cc4Ox41JCk8BekM4r5,192.168.84.22,57417,192.168.84.22,1720,tcp,,0.000777,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
